judgment_id,status,scope,project_id,field,pipeline_verdict,values,covered_pairs,n_rows,hand_verdict,agree,issue_class,note,checked
K264,carried,exact,dart,doi,exact,(exact: open data/normalized/dart.json),cff~doi_record,1,exact,1,,same but cff's preferred citation points to the article,8/15/26
K225,carried,intra,dart,doi,conflict,10.5281/zenodo.7542588 vs 10.21105/joss.00500,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K224,carried,intra,dart,year,conflict,2023 vs 2018,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K196,carried,intra,dealii,authors,conflict,|A|=1 |B|=10 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K195,carried,intra,dealii,title,conflict,"fuzzy=20 | 'deal.II' vs 'The deal.II finite element library: Design, features, and insights'",cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K112,carried,comp,debyecalculator,authors,conflict,|A|=6 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,cff has preferred cation to a Journal,8/14/26
K111,carried,comp,debyecalculator,title,conflict,"fuzzy=15 | 'A GPU-Accelerated Open-Source Python Package for Calculating Powder Diffraction, Small-Angle-, and Total Scattering with the Debye Scattering Equation' vs 'debyecalculator'",cff~pypi;doi_record~pypi,2,conflict,1,,cff has preferred cation to a Journal,8/14/26
K113,carried,comp,debyecalculator,version,conflict,'v1.0.7' vs '1.0.14',doi_record~pypi,1,conflict,1,,,8/14/26
K228,carried,intra,debyecalculator,doi,conflict,10.5281/zenodo.10659528 vs 10.21105/joss.06024,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K131,carried,comp,earthpy,authors,conflict,|A|=5 |B|=7 matchedA=4 matchedB=4,zenodo_json~doi_record;zenodo_json~readme,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
K132,carried,comp,earthpy,authors,conflict,|A|=5 |B|=1 matchedA=1 matchedB=1,zenodo_json~pypi,1,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
K134,carried,comp,earthpy,authors,conflict,|A|=7 |B|=1 matchedA=1 matchedB=1,doi_record~pypi;readme~pypi,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
K133,carried,comp,earthpy,title,conflict,fuzzy=11 | 'EarthPy: A Python package that makes it easier to explore and plot raster and vector data using open source Python tools.' vs 'earthpy',doi_record~pypi;readme~pypi,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
K250,carried,exact,earthpy,doi,exact,(exact: open data/normalized/earthpy.json),doi_record~readme,1,exact,1,,,8/15/26
K006,carried,comp,elmerfem,authors,conflict,|A|=25 |B|=20 matchedA=17 matchedB=17,cff~doi_record,1,conflict,1,,,8/14/26
K007,carried,comp,elmerfem,license,conflict,'GPL-2.0-or-later' vs 'gpl-2.0+',cff~doi_record,1,conflict,1,,,8/14/26
K005,carried,comp,elmerfem,title,conflict,fuzzy=46 | 'ElmerFEM' vs 'ElmerCSC/elmerfem: Elmer 9.0',cff~doi_record,1,conflict,1,,,8/14/26
K009,carried,comp,envpool,authors,conflict,|A|=12 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,"pypi only has """"EnvPool Contributors""",8/14/26
K008,carried,comp,envpool,title,conflict,fuzzy=17 | 'EnvPool: A Highly Parallel Reinforcement Learning Environment Execution Engine' vs 'envpool',readme~pypi,1,conflict,1,,,8/14/26
K162,carried,comp,eomaps,title,conflict,fuzzy=16 | 'EOmaps: A python package to visualize and analyze geographical datasets.' vs 'eomaps',readme~pypi,1,conflict,1,,,8/15/26
K169,carried,comp,felupe,authors,conflict,|A|=2 |B|=1 matchedA=1 matchedB=1,cff~doi_record,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K173,carried,comp,felupe,license,conflict,'gpl-3.0' vs 'GPL-3.0-or-later',doi_record~pypi,1,conflict,1,,,8/15/26
K168,carried,comp,felupe,title,conflict,fuzzy=60 | 'FElupe: Finite element analysis for continuum mechanics of solid bodies' vs 'FElupe: Finite Element Analysis',cff~doi_record,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K170,carried,comp,felupe,title,conflict,fuzzy=16 | 'FElupe: Finite element analysis for continuum mechanics of solid bodies' vs 'felupe',cff~pypi,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K171,carried,comp,felupe,title,conflict,fuzzy=33 | 'FElupe: Finite Element Analysis' vs 'felupe',doi_record~pypi,1,conflict,1,,,8/15/26
K172,carried,comp,felupe,version,conflict,'v9.4.0' vs '10.1.0',doi_record~pypi,1,conflict,1,,,8/15/26
K244,carried,intra,felupe,doi,conflict,10.5281/zenodo.17202699 vs 10.21105/joss.09160,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K208,carried,intra,geant4,authors,conflict,|A|=2 |B|=99 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K207,carried,intra,geant4,title,conflict,fuzzy=34 | 'Geant4' vs 'Recent developments in Geant4',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K232,carried,intra,genomesizer,doi,conflict,10.5281/zenodo.17971801 vs 10.21105/joss.08759,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K231,carried,intra,geometry,doi,conflict,10.5281/zenodo.20281747 vs 10.21105/joss.10328,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K081,carried,comp,grassmann-jl,doi,conflict,"10.5281/zenodo.101519786 vs 10.5281/zenodo.21863412 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,cff has preferred citation pointing to an article,8/14/26
K079,carried,comp,grassmann-jl,version,conflict,'0.8.33' vs 'v0.8.46',cff~doi_record,1,conflict,1,,cff has preferred citation pointing to an article,8/14/26
K080,carried,comp,grassmann-jl,year,minor,2025 vs 2026 (staleness?),cff~doi_record,1,minor,1,,cff has preferred citation pointing to an article,8/14/26
K263,carried,exact,grassmann-jl,title,exact,(exact: open data/normalized/grassmann-jl.json),cff~doi_record,1,exact,1,,same but cff's preferred citation points to the article,8/15/26
K220,carried,intra,grassmann-jl,title,conflict,fuzzy=32 | 'Grassmann.jl' vs 'Differential geometric algebra with Leibniz and Grassmann',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K221,carried,intra,grassmann-jl,year,conflict,2025 vs 2019,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K022,carried,comp,hdf5,doi,conflict,"10.5281/zenodo.17808614 vs 10.5281/zenodo.21716856 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,"cff has """"Zenodo DOI for all versions"" for ""10.5281/zenodo.17808614"" in the identifiers section, while doi_record has ""10.5281/zenodo.21716856"" for ""Hierarchical Data Format, version 5""",8/14/26
K002,carried,comp,horovod,authors,conflict,|A|=2 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,"pypi only has ""The Horovod Authors""",8/14/26
K001,carried,comp,horovod,title,conflict,fuzzy=21 | 'Horovod: fast and easy distributed deep learning in TensorFlow' vs 'horovod',readme~pypi,1,conflict,1,,,8/14/26
K012,carried,comp,kernel,doi,conflict,"10.5281/zenodo.14645534 vs 10.5281/zenodo.18999584 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,"cff include concept DOI and viersioned DOI, while doi_record 's doi is in datacite registray ",8/14/26
K010,carried,comp,kernel,version,conflict,'0.10.0' vs 'v0.13.2',cff~doi_record,1,conflict,1,,,8/14/26
K011,carried,comp,kernel,year,minor,2025 vs 2026 (staleness?),cff~doi_record,1,minor,1,,,8/14/26
K265,carried,exact,kernel,title,exact,(exact: open data/normalized/kernel.json),cff~doi_record,1,exact,1,,same but cff's preferred citation points to the article,8/15/26
K198,carried,intra,kernel,authors,conflict,|A|=11 |B|=3 matchedA=2 matchedB=2,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K200,carried,intra,kernel,doi,conflict,10.5281/zenodo.14645534 vs 10.1145/3365137.3365395,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K197,carried,intra,kernel,title,conflict,fuzzy=39 | 'The Hermit Kernel' vs 'Exploring Rust for Unikernel Development',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K199,carried,intra,kernel,year,conflict,2025 vs 2019,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K191,carried,intra,kokkos,authors,conflict,|A|=1 |B|=20 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,,8/15/26
K190,carried,intra,kokkos,title,conflict,fuzzy=19 | 'Kokkos' vs 'Kokkos 3: Programming Model Extensions for the Exascale Era',cff~cff_preferred,1,conflict,1,,,8/15/26
K126,carried,comp,martini,doi,conflict,10.5281/zenodo.11198185 vs 10.21105/joss.06860,cff~readme;doi_record~readme,2,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
K124,carried,comp,martini,title,conflict,fuzzy=28 | 'MARTINI: Mock Array Radio Telescope Interferometry of the Neutral ISM' vs 'kyleaoman/martini: v2.0.12',cff~doi_record,1,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
K127,carried,comp,martini,title,conflict,fuzzy=28 | 'kyleaoman/martini: v2.0.12' vs 'MARTINI: Mock Array Radio Telescope Interferometry of the Neutral ISM',doi_record~readme,1,conflict,1,,paper-ref: cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
K233,carried,intra,martini,doi,conflict,10.5281/zenodo.11198185 vs 10.21105/joss.06860,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K123,carried,comp,mdentropy,authors,conflict,|A|=2 |B|=2 matchedA=1 matchedB=1,doi_record~readme,1,conflict,0,parse-error,LaTeX-escaped accent (Hern'andez vs Hernández) blocked one name match,8/15/26
K004,carried,comp,mfem,authors,conflict,|A|=1 |B|=2 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,,8/14/26
K003,carried,comp,mfem,title,conflict,fuzzy=89 | 'MFEM: Modular Finite Element Methods [Software]' vs 'Modular Finite Element Methods (MFEM)',cff~doi_record,1,conflict,1,,,8/14/26
K193,carried,intra,mfem,authors,conflict,|A|=1 |B|=17 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K194,carried,intra,mfem,doi,conflict,10.11578/dc.20171025.1248 vs 10.1016/j.camwa.2020.06.009,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K192,carried,intra,mfem,title,conflict,fuzzy=79 | 'MFEM: Modular Finite Element Methods [Software]' vs 'MFEM: A Modular Finite Element Methods Library',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K136,carried,comp,montepy,authors,conflict,|A|=4 |B|=5 matchedA=4 matchedB=4,cff~doi_record,1,conflict,1,,cff's preferred citation points to an article,8/15/26
K135,carried,comp,montepy,title,conflict,"fuzzy=18 | 'MontePy: a Python library for reading, editing, and writing MCNP input files.' vs 'MontePy'",cff~doi_record,1,conflict,1,,cff's preferred citation points to an article,8/15/26
K137,carried,comp,montepy,title,conflict,"fuzzy=18 | 'MontePy: a Python library for reading, editing, and writing MCNP input files.' vs 'montepy'",cff~pypi,1,conflict,1,,cff's preferred citation points to an article,8/15/26
K138,carried,comp,montepy,version,conflict,'0.5.5' vs '1.5.0',doi_record~pypi,1,conflict,1,,,8/15/26
K234,carried,intra,montepy,doi,conflict,10.5281/zenodo.15185507 vs 10.21105/joss.07951,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K024,carried,comp,mpi4py,authors,conflict,|A|=3 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,cff used preferred citation to a Journal,8/14/26
K023,carried,comp,mpi4py,title,conflict,fuzzy=50 | 'MPI for Python' vs 'mpi4py',cff~pypi;doi_record~pypi,2,conflict,1,,"doi and record has same name whiel pypi has a different name, but cff asked to use preferred citation, which is a journal",8/14/26
K270,carried,exact,mpi4py,license,exact,alias-normalized,doi_record~pypi,1,exact,1,,"same, just case difference",8/15/26
K205,carried,intra,mpi4py,authors,conflict,|A|=3 |B|=2 matchedA=2 matchedB=2,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K206,carried,intra,mpi4py,doi,conflict,10.5281/zenodo.5645087 vs 10.1109/mcse.2021.3083216,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K204,carried,intra,mpi4py,title,conflict,fuzzy=28 | 'MPI for Python' vs 'mpi4py: Status Update After 12 Years of Development',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K029,carried,comp,mpich,authors,conflict,|A|=9 |B|=1 matchedA=0 matchedB=0,doi_record~pypi;readme~pypi,2,conflict,1,,"pypi used ""MPICH Team"" only while readme's bibtex point to Jounal",8/14/26
K268,carried,exact,mpich,title,exact,(exact: open data/normalized/mpich.json),doi_record~pypi,1,exact,1,,"same, just case difference",8/15/26
K139,carried,comp,neon-utilities-python,version,minor,v-prefix only,cff~doi_record,1,minor,1,,,8/15/26
K269,carried,exact,neon-utilities-python,authors,exact,n=3,cff~doi_record,1,exact,1,,,8/15/26
K142,carried,comp,nsevdx,authors,conflict,|A|=2 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,pypi has the first author only,8/15/26
K141,carried,comp,nsevdx,title,conflict,fuzzy=14 | 'nsEVDx: A Python Library for Modeling Non-Stationary Extreme Value Distributions' vs 'nsEVDx',cff~pypi;doi_record~pypi,2,conflict,1,,cff and doi has same name with version difference. Pypi has a short name with same vversion of cff,8/15/26
K140,carried,comp,nsevdx,version,conflict,'0.2.4' vs 'v0.1.0',cff~doi_record,1,conflict,1,,,8/15/26
K143,carried,comp,nsevdx,version,conflict,'v0.1.0' vs '0.2.4',doi_record~pypi,1,conflict,1,,,8/15/26
K044,carried,comp,openfermion,authors,conflict,|A|=1 |B|=37 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,"cff has only ""The OpenFermion Developers"" for software author, but also prefereed caitation to the paper authors, which is the one in doi_record",8/14/26
K043,carried,comp,openfermion,title,conflict,fuzzy=29 | 'OpenFermion' vs 'OpenFermion: the electronic structure package for quantum computers',cff~doi_record,1,conflict,1,,"cff has attributes for software, but also prefereed caitation to the paper, which is the one in doi_record",8/14/26
K045,carried,comp,openfermion,year,conflict,2026 vs 2020,cff~doi_record,1,conflict,1,,"cff has 2026 as the year for software, with preferred citation to doi_record's paper with a different year",8/14/26
K212,carried,intra,openfermion,authors,conflict,|A|=1 |B|=37 matchedA=0 matchedB=0,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K211,carried,intra,openfermion,title,conflict,fuzzy=29 | 'OpenFermion' vs 'OpenFermion: The Electronic Structure Package for Quantum Computers',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K213,carried,intra,openfermion,year,conflict,2026 vs 2020,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K021,carried,comp,openmc,authors,conflict,|A|=11 |B|=6 matchedA=3 matchedB=3,cff~doi_record,1,conflict,1,,,8/14/26
K020,carried,comp,openmc,title,conflict,fuzzy=16 | 'OpenMC' vs 'OpenMC: A state-of-the-art Monte Carlo code for research and development',cff~doi_record,1,conflict,1,,"both cff's preferred ciation and doi are pointing to the journal ""OpenMC: A state-of-the-art Monte Carlo code for research and development"" instead of cff's software ""OpenMC""",8/14/26
K203,carried,intra,openmc,authors,conflict,|A|=11 |B|=6 matchedA=3 matchedB=3,cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K202,carried,intra,openmc,title,conflict,fuzzy=16 | 'OpenMC' vs 'OpenMC: A state-of-the-art Monte Carlo code for research and development',cff~cff_preferred,1,conflict,1,,cff's preferred citaion points to a article,8/15/26
K152,carried,comp,plenoptic,authors,conflict,|A|=14 |B|=8 matchedA=7 matchedB=7,cff~readme;doi_record~readme,2,conflict,1,,readme has bibtext points to an article,8/15/26
K154,carried,comp,plenoptic,authors,conflict,|A|=14 |B|=1 matchedA=0 matchedB=0,cff~pypi;doi_record~pypi,2,conflict,1,,pypi only has one author,8/15/26
K156,carried,comp,plenoptic,authors,conflict,|A|=8 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme has bibtext points to an article,8/15/26
K153,carried,comp,plenoptic,title,conflict,fuzzy=23 | 'Plenoptic: A platform for synthesizing model-optimized visual stimuli' vs 'plenoptic',cff~pypi;doi_record~pypi;readme~pypi,3,conflict,1,,,8/15/26
K155,carried,comp,plenoptic,year,conflict,2026 vs 2023,doi_record~readme,1,conflict,1,,readme has bibtext points to an article,8/15/26
