judgment_id,scope,project_id,field,pipeline_verdict,values,covered_pairs,n_rows,hand_verdict,agree,issue_class,note,checked
J041,comp,cirq,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~doi_record;cff~pypi;doi_record~pypi,3,conflict,0,,"all have ""Cirq Developers"" while only pypi has ""The Cirq Developers""",8/14/26
J042,comp,cirq,version,minor,v-prefix only,cff~doi_record;doi_record~pypi,2,minor,1,,only doi has 'v',8/14/26
J043,comp,cirq,doi,conflict,"10.5281/zenodo.4062499 vs 10.5281/zenodo.21080138 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,cff doi is for archive of all versions. Doi_crecords for current version,8/14/26
J044,comp,quantum,year,minor,2020 vs 2021 (staleness?),doi_record~readme,1,minor,1,,readme point to the paper year as in bibtex,8/14/26
J045,comp,rustworkx,authors,conflict,|A|=4 |B|=4 matchedA=0 matchedB=0,zenodo_json~doi_record,1,conflict,1,,,8/14/26
J046,comp,rustworkx,title,conflict,fuzzy=29 | 'rustworkx: A High-Performance Graph Library for Python' vs 'rustworkx',zenodo_json~pypi;doi_record~pypi,2,conflict,1,,,8/14/26
J047,comp,openfermion,title,conflict,fuzzy=29 | 'OpenFermion' vs 'OpenFermion: the electronic structure package for quantum computers',cff~doi_record,1,conflict,1,,"cff has attributes for software, but also prefereed caitation to the paper, which is the one in doi_record",8/14/26
J048,comp,openfermion,authors,conflict,|A|=1 |B|=37 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,"cff has only ""The OpenFermion Developers"" for software author, but also prefereed caitation to the paper authors, which is the one in doi_record",8/14/26
J049,comp,openfermion,year,conflict,2026 vs 2020,cff~doi_record,1,conflict,1,,"cff has 2026 as the year for software, with preferred citation to doi_record's paper with a different year",8/14/26
J050,comp,torchquantum,title,conflict,fuzzy=28 | 'Quantumnas: Noise-adaptive search for robust quantum circuits' vs 'torchquantum',readme~pypi,1,conflict,1,,readme's bibtex points to a paper,8/14/26
J051,comp,torchquantum,authors,conflict,|A|=8 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme's bibtex points to a paper,8/14/26
J052,comp,pyquil,title,conflict,fuzzy=43 | 'PyQuil: Quantum programming in Python' vs 'A Practical Quantum Instruction Set Architecture',doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
J053,comp,pyquil,authors,conflict,|A|=20 |B|=3 matchedA=3 matchedB=3,doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
J054,comp,pyquil,year,conflict,2020 vs 2016,doi_record~readme,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
J055,comp,pyquil,title,conflict,fuzzy=29 | 'PyQuil: Quantum programming in Python' vs 'pyquil',doi_record~pypi,1,conflict,1,,,8/14/26
J056,comp,pyquil,authors,conflict,|A|=20 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,"pypi has """"Rigetti Computing"""" as general author",8/14/26
J057,comp,pyquil,version,conflict,'v2.17.0' vs '4.17.0',doi_record~pypi,1,conflict,1,,,8/14/26
J058,comp,pyquil,license,conflict,'Open Access' vs 'Apache-2.0',doi_record~pypi,1,conflict,1,,,8/14/26
J059,comp,pyquil,title,conflict,fuzzy=11 | 'A Practical Quantum Instruction Set Architecture' vs 'pyquil',readme~pypi,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
J060,comp,pyquil,authors,conflict,|A|=3 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme's bibtex points to a arXiv paper,8/14/26
J061,comp,cuda-quantum,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~doi_record;cff~pypi;doi_record~pypi,3,conflict,1,," ""The CUDA-Q development team"" for doi and cff while ""NVIDIA Corporation & Affiliates"" for pypi",8/14/26
J062,comp,cuda-quantum,title,conflict,fuzzy=67 | 'CUDA-Q' vs 'cuda-quantum',cff~pypi;doi_record~pypi,2,conflict,1,,,8/14/26
J063,comp,cuda-quantum,version,conflict,'0.15.0' vs '0.15.1',doi_record~pypi,1,conflict,1,,,8/14/26
J064,comp,yao-jl,authors,minor,name variants; n=4,cff~doi_record;cff~readme,2,minor,0,,"they have point to paper title, but appears as preferred citation in cff and bibtex for readme, but readme's paper is the Arxv Preprint",8/14/26
J065,comp,yao-jl,year,minor,2020 vs 2019 (staleness?),cff~readme;doi_record~readme,2,minor,1,,"they have point to paper title, but appears as preferred citation in cff and bibtex for readme, but readme's paper is the Arxv Preprint",8/14/26
J066,comp,qdk,title,conflict,fuzzy=6 | 'Microsoft Quantum Development Kit' vs 'Q#',cff~doi_record,1,conflict,1,,doi points to an ACM paper,8/14/26
J067,comp,qdk,authors,conflict,|A|=1 |B|=10 matchedA=0 matchedB=0,cff~doi_record,1,conflict,1,,doi points to an ACM paper while cff only list Microsoft as author,8/14/26
J068,comp,qdk,year,conflict,2024 vs 2018,cff~doi_record,1,conflict,1,,doi points to an ACM paper,8/14/26
J069,comp,qdk,title,conflict,fuzzy=11 | 'Microsoft Quantum Development Kit' vs 'qdk',cff~pypi;readme~pypi,2,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
J070,comp,qdk,title,conflict,fuzzy=6 | 'Q#' vs 'Microsoft Quantum Development Kit',doi_record~readme,1,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
J071,comp,qdk,authors,conflict,|A|=10 |B|=1 matchedA=0 matchedB=0,doi_record~readme;doi_record~pypi,2,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
J072,comp,qdk,title,conflict,fuzzy=50 | 'Q#' vs 'qdk',doi_record~pypi,1,conflict,1,,doi points to an ACM paper while cff and pypi for software,8/14/26
J073,comp,covalent,title,conflict,fuzzy=39 | 'AgnostiqHQ/covalent: v0.228.0-rc.0' vs 'covalent',doi_record~pypi,1,conflict,1,,,8/14/26
J074,comp,covalent,authors,conflict,|A|=28 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,,8/14/26
J075,comp,covalent,version,conflict,'v0.228.0-rc.0' vs '0.240.0',doi_record~pypi,1,conflict,1,,,8/14/26
J076,comp,covalent,license,conflict,'Open Access' vs 'Apache License 2.0',doi_record~pypi,1,conflict,1,,,8/14/26
J077,comp,stim,title,conflict,fuzzy=18 | 'Stim' vs 'Stim: a fast stabilizer circuit simulator',cff~doi_record;cff~readme,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
J078,comp,stim,year,conflict,2024 vs 2021,cff~doi_record;cff~readme,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
J079,comp,stim,version,conflict,'1.14.0' vs '1.16.0',cff~pypi,1,conflict,1,,cff points to paper as preferred citation,8/14/26
J080,comp,stim,license,conflict,'Apache-2.0' vs 'Apache 2',cff~pypi,1,conflict,1,,cff points to paper as preferred citation,8/14/26
J081,comp,stim,title,conflict,fuzzy=18 | 'Stim: a fast stabilizer circuit simulator' vs 'stim',doi_record~pypi;readme~pypi,2,conflict,1,,readme and cff points to paper in bibtexand preferred citation,8/14/26
J082,comp,qsim,version,minor,v-prefix only,cff~doi_record;doi_record~pypi,2,minor,1,,pypi doesn't contains 'v',8/14/26
J083,comp,grassmann-jl,version,conflict,'0.8.33' vs 'v0.8.46',cff~doi_record,1,conflict,1,,cff has preferred citation pointing to an article,8/14/26
J084,comp,grassmann-jl,year,minor,2025 vs 2026 (staleness?),cff~doi_record,1,minor,1,,cff has preferred citation pointing to an article,8/14/26
J085,comp,grassmann-jl,doi,conflict,"10.5281/zenodo.101519786 vs 10.5281/zenodo.21863412 | both Zenodo: possible concept-vs-version DOI, HAND-CHECK",cff~doi_record,1,conflict,1,,cff has preferred citation pointing to an article,8/14/26
J086,comp,qualtran,title,conflict,fuzzy=25 | 'Qualtran' vs 'Expressing and Analyzing Quantum Algorithms with Qualtran',cff~doi_record;cff~readme,2,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
J087,comp,qualtran,version,conflict,'0.6.0' vs '1',cff~doi_record,1,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
J088,comp,qualtran,year,minor,2025 vs 2024 (staleness?),cff~doi_record;cff~readme,2,minor,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
J089,comp,qualtran,license,conflict,'Apache-2.0' vs 'cc-by-4.0',cff~doi_record,1,conflict,1,,doi_record points to arXibv paper while cff has this as preferred ciatation and readme has it in bibtex,8/14/26
J090,comp,qibo,title,conflict,fuzzy=29 | 'qiboteam/qibo: qibo 0.3.4' vs 'qibo',doi_record~pypi,1,conflict,1,,no signifant difference. Pypi include the version number in title,8/14/26
J091,comp,qibo,authors,conflict,|A|=29 |B|=1 matchedA=0 matchedB=0,doi_record~pypi,1,conflict,1,,"pypi only use one-line of ""The Qibo team""",8/14/26
J092,comp,qibo,version,minor,v-prefix only,doi_record~pypi,1,minor,1,,,8/14/26
J093,comp,recirq,authors,conflict,|A|=1 |B|=2 matchedA=0 matchedB=0,zenodo_json~readme;doi_record~readme,2,conflict,0,,"all are """"Quantum AI team and collaborators""",8/14/26
J094,comp,toqito,title,conflict,fuzzy=67 | 'toqito -- Theory of quantum information toolkit: A Python package for studying quantum information' vs 'toqito: A Python toolkit for quantum information',doi_record~readme,1,conflict,1,,,8/14/26
J095,comp,toqito,year,minor,2020 vs 2021 (staleness?),doi_record~readme,1,minor,1,,,8/14/26
J096,comp,toqito,title,conflict,fuzzy=12 | 'toqito -- Theory of quantum information toolkit: A Python package for studying quantum information' vs 'toqito',doi_record~pypi,1,conflict,1,,,8/14/26
J097,comp,toqito,version,conflict,'v1.0' vs '1.3.1',doi_record~pypi,1,conflict,1,,,8/14/26
J098,comp,toqito,title,conflict,fuzzy=23 | 'toqito: A Python toolkit for quantum information' vs 'toqito',readme~pypi,1,conflict,1,,,8/14/26
J099,comp,qrisp,title,conflict,fuzzy=11 | 'Qrisp: A Framework for Compilable High-Level Programming of Gate-Based Quantum Computers' vs 'qrisp',readme~pypi,1,conflict,1,,readme point to a Arxiv paper as in bibtex,8/14/26
J100,comp,qrisp,authors,conflict,|A|=7 |B|=1 matchedA=0 matchedB=0,readme~pypi,1,conflict,1,,readme point to a Arxiv paper as in bibtex,8/14/26
J101,comp,catalyst,doi,conflict,10.5281/zenodo.12696447 vs 10.21105/joss.06720,cff~readme;doi_record~readme,2,conflict,1,,"readme point to a Journal in bibtex, which is also the preferred citation in cff",8/14/26
J102,comp,pyzx,title,conflict,fuzzy=15 | 'PyZX: Large Scale Automated Diagrammatic Reasoning' vs 'pyzx',readme~pypi,1,conflict,1,,,8/14/26
J103,comp,dart,title,conflict,fuzzy=45 | 'DART: Dynamic Animation and Robotics Toolkit' vs 'dartsim/dart: DART 6.13.0',cff~doi_record,1,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
J104,comp,dart,authors,conflict,|A|=9 |B|=30 matchedA=3 matchedB=4,cff~doi_record,1,conflict,1,,cff has preferred ciatation to a Journal.,8/14/26
J105,comp,dart,version,minor,v-prefix only,cff~doi_record,1,minor,1,,cff has preferred ciatation to a Journal.,8/14/26
J106,comp,dart,year,conflict,2023 vs 2018,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
J107,comp,dart,doi,conflict,10.5281/zenodo.7542588 vs 10.21105/joss.00500,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
J108,comp,dart,title,conflict,fuzzy=45 | 'dartsim/dart: DART 6.13.0' vs 'DART: Dynamic Animation and Robotics Toolkit',doi_record~readme,1,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
J109,comp,dart,authors,conflict,|A|=30 |B|=9 matchedA=4 matchedB=3,doi_record~readme,1,conflict,1,,"cff has preferred ciatation to a Journal, which is also the bibtex of readme",8/14/26
J110,comp,pyvista,authors,conflict,|A|=2 |B|=2 matchedA=1 matchedB=1,cff~doi_record;doi_record~readme,2,conflict,1,,,8/14/26
J111,comp,pyvista,title,conflict,fuzzy=13 | 'PyVista: 3D plotting and mesh analysis through a streamlined interface for the Visualization Toolkit (VTK)' vs 'pyvista',cff~pypi;doi_record~pypi;readme~pypi,3,conflict,1,,,8/14/26
J112,comp,biopsykit,title,conflict,fuzzy=23 | 'BioPsyKit' vs 'BioPsyKit: A Python package for the analysis of biopsychological data',cff~doi_record,1,conflict,1,,cff has preferred cation to a Journal,8/14/26
J113,comp,biopsykit,authors,conflict,|A|=5 |B|=5 matchedA=4 matchedB=4,cff~doi_record,1,conflict,1,,cff has preferred cation to a Journal,8/14/26
J114,comp,biopsykit,title,conflict,fuzzy=23 | 'BioPsyKit: A Python package for the analysis of biopsychological data' vs 'biopsykit',doi_record~pypi,1,conflict,1,,,8/14/26
J115,comp,debyecalculator,title,conflict,"fuzzy=15 | 'A GPU-Accelerated Open-Source Python Package for Calculating Powder Diffraction, Small-Angle-, and Total Scattering with the Debye Scattering Equation' vs 'debyecalculator'",cff~pypi;doi_record~pypi,2,conflict,1,,cff has preferred cation to a Journal,8/14/26
J116,comp,debyecalculator,authors,conflict,|A|=6 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,cff has preferred cation to a Journal,8/14/26
J117,comp,debyecalculator,version,conflict,'v1.0.7' vs '1.0.14',doi_record~pypi,1,conflict,1,,,8/14/26
J118,comp,textnets,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
J119,comp,textnets,doi,conflict,10.5281/zenodo.3866676 vs 10.21105/joss.02594,cff~readme;doi_record~readme,2,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
J120,comp,textnets,year,conflict,2024 vs 2020,doi_record~readme,1,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
J121,comp,textnets,version,conflict,'v0.9.5' vs '0.10.4',doi_record~pypi,1,conflict,1,,"cff has preferred cation to a Journal, which is also the bibtex in readme",8/14/26
J122,comp,textnets,license,conflict,'cc-by-4.0' vs 'GPL-3.0-only',doi_record~pypi,1,conflict,1,,,8/14/26
J123,comp,agni,year,minor,2025 vs 2024 (staleness?),cff~codemeta,1,minor,1,,cff and doi_record points to Journal paper,8/14/26
J124,comp,agni,title,conflict,fuzzy=58 | 'AGNI: An open-source model for extreme atmospheres on rocky exoplanets' vs 'AGNI: A radiative-convective model for lava planet atmospheres',cff~doi_record;zenodo_json~doi_record,2,conflict,1,,cff and doi_record points to Journal paper,8/14/26
J125,comp,agni,authors,conflict,|A|=1 |B|=3 matchedA=1 matchedB=1,cff~doi_record;codemeta~doi_record;zenodo_json~doi_record,3,conflict,1,,cff and doi_record points to Journal paper,8/14/26
J126,comp,agni,year,minor,2024 vs 2025 (staleness?),codemeta~doi_record,1,minor,1,,cff and doi_record points to Journal paper,8/14/26
J127,comp,mdentropy,authors,conflict,|A|=2 |B|=2 matchedA=1 matchedB=1,doi_record~readme,1,conflict,0,,"both doi and readme's bibtext point to the same Journal article, while readme's bibtex only has '\\' to escape the ‡ character",8/15/26
J128,comp,martini,title,conflict,fuzzy=28 | 'MARTINI: Mock Array Radio Telescope Interferometry of the Neutral ISM' vs 'kyleaoman/martini: v2.0.12',cff~doi_record,1,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
J129,comp,martini,authors,conflict,|A|=1 |B|=1 matchedA=0 matchedB=0,cff~doi_record;doi_record~readme,2,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
J130,comp,martini,doi,conflict,10.5281/zenodo.11198185 vs 10.21105/joss.06860,cff~readme;doi_record~readme,2,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
J131,comp,martini,title,conflict,fuzzy=28 | 'kyleaoman/martini: v2.0.12' vs 'MARTINI: Mock Array Radio Telescope Interferometry of the Neutral ISM',doi_record~readme,1,conflict,1,,cff has preferred citation and readme's bibtext all pointing to a Jounal article,8/15/26
J132,comp,cheminformant,title,conflict,fuzzy=25 | 'ChemInformant' vs 'ChemInformant: A Robust and Workflow-Centric Python Client for High-Throughput PubChem Access',cff~zenodo_json;cff~doi_record;cff~readme,3,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
J133,comp,cheminformant,year,minor,2026 vs 2025 (staleness?),cff~doi_record;cff~readme,2,minor,1,,readme's preferred caitaiton point to journal,8/15/26
J134,comp,cheminformant,title,conflict,fuzzy=25 | 'ChemInformant: A Robust and Workflow-Centric Python Client for High-Throughput PubChem Access' vs 'ChemInformant',zenodo_json~pypi;doi_record~pypi;readme~pypi,3,conflict,1,,readme's preferred caitaiton point to journal,8/15/26
J135,comp,earthpy,authors,conflict,|A|=5 |B|=7 matchedA=4 matchedB=4,zenodo_json~doi_record;zenodo_json~readme,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
J136,comp,earthpy,authors,conflict,|A|=5 |B|=1 matchedA=1 matchedB=1,zenodo_json~pypi,1,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
J137,comp,earthpy,title,conflict,fuzzy=11 | 'EarthPy: A Python package that makes it easier to explore and plot raster and vector data using open source Python tools.' vs 'earthpy',doi_record~pypi;readme~pypi,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
J138,comp,earthpy,authors,conflict,|A|=7 |B|=1 matchedA=1 matchedB=1,doi_record~pypi;readme~pypi,2,conflict,1,,readme's bibtex and doi_records points to a paper,8/15/26
J139,comp,montepy,title,conflict,"fuzzy=18 | 'MontePy: a Python library for reading, editing, and writing MCNP input files.' vs 'MontePy'",cff~doi_record,1,conflict,1,,cff's preferred citation points to an article,8/15/26
J140,comp,montepy,authors,conflict,|A|=4 |B|=5 matchedA=4 matchedB=4,cff~doi_record,1,conflict,1,,cff's preferred citation points to an article,8/15/26
J141,comp,montepy,title,conflict,"fuzzy=18 | 'MontePy: a Python library for reading, editing, and writing MCNP input files.' vs 'montepy'",cff~pypi,1,conflict,1,,cff's preferred citation points to an article,8/15/26
J142,comp,montepy,version,conflict,'0.5.5' vs '1.5.0',doi_record~pypi,1,conflict,1,,,8/15/26
J143,comp,neon-utilities-python,version,minor,v-prefix only,cff~doi_record,1,minor,1,,,8/15/26
J144,comp,nsevdx,version,conflict,'0.2.4' vs 'v0.1.0',cff~doi_record,1,conflict,1,,,8/15/26
J145,comp,nsevdx,title,conflict,fuzzy=14 | 'nsEVDx: A Python Library for Modeling Non-Stationary Extreme Value Distributions' vs 'nsEVDx',cff~pypi;doi_record~pypi,2,conflict,1,,cff and doi has same name with version difference. Pypi has a short name with same vversion of cff,8/15/26
J146,comp,nsevdx,authors,conflict,|A|=2 |B|=1 matchedA=1 matchedB=1,cff~pypi;doi_record~pypi,2,conflict,1,,pypi has the first author only,8/15/26
J147,comp,nsevdx,version,conflict,'v0.1.0' vs '0.2.4',doi_record~pypi,1,conflict,1,,,8/15/26
J148,comp,sunpy,title,conflict,fuzzy=49 | 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package' vs 'sunpy: A Core Package for Solar Physics',cff~zenodo_json,1,conflict,1,,,8/15/26
J149,comp,sunpy,authors,conflict,|A|=35 |B|=268 matchedA=28 matchedB=28,cff~zenodo_json,1,conflict,1,,zenodo_json has more as creator,8/15/26
J150,comp,sunpy,authors,conflict,|A|=35 |B|=34 matchedA=34 matchedB=34,cff~doi_record,1,conflict,1,,"doi_record has two null creator, but rest are the same",8/15/26
J151,comp,sunpy,title,conflict,fuzzy=11 | 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package' vs 'sunpy',cff~pypi;doi_record~pypi,2,conflict,1,,,8/15/26
J152,comp,sunpy,title,conflict,fuzzy=49 | 'sunpy: A Core Package for Solar Physics' vs 'The SunPy Project: Open Source Development and Status of the Version 1.0 Core Package',zenodo_json~doi_record,1,conflict,1,,,8/15/26
